Harvest ,Species,Treatment ,Tag,Pot,Week,Height
1,VE,16%,H1VE16,188,3,13
1,VE,4%,H1VE4,299,3,20
2,VS,4%,H2VS4,6,3,48
2,VS,4%,H2VS4,8,3,34
2,VS,4%,H2VS4,10,3,50
2,VS,4%,H2VS4,12,3,75
2,VS,4%,H2VS4,14,3,27
2,VS,4%,H2VS4,16,3,34
2,VS,4%,H2VS4,24,3,57
2,VS,4%,H2VS4,28,3,39
2,VS,4%,H2VS4,43,3,51
2,VS,4%,H2VS4,67,3,53
2,VS,4%,H2VS4,68,3,52
2,VS,4%,H2VS4,92,3,28
2,VS,8%,H2VS8,1,3,41
2,VS,8%,H2VS8,7,3,53
2,VS,8%,H2VS8,25,3,48
2,VS,8%,H2VS8,30,3,69
2,VS,8%,H2VS8,35,3,38
2,VS,8%,H2VS8,37,3,43
2,VS,8%,H2VS8,40,3,35
2,VS,8%,H2VS8,45,3,45
2,VS,8%,H2VS8,65,3,53
2,VS,8%,H2VS8,90,3,24
2,VS,8%,H2VS8,96,3,33
2,VS,16%,H2VS16,4,3,51
2,VS,16%,H2VS16,31,3,46
2,VS,16%,H2VS16,66,3,63
2,VS,16%,H2VS16,86,3,24
2,VS,16%,H2VS16,94,3,23
2,VS,16%,H2VS16,95,3,30
2,VS,16%,H2VS16,100,3,21
2,VS,16%,H2VS16,106,3,17
2,VS,16%,H2VS16,108,3,17
2,VS,16%,H2VS16,111,3,25
2,VE,4%,H2VE4,91,3,15
2,VE,4%,H2VE4,93,3,40
2,VE,4%,H2VE4,108,3,43
2,VE,4%,H2VE4,134,3,50
2,VE,4%,H2VE4,157,3,34
2,VE,4%,H2VE4,197,3,18
2,VE,4%,H2VE4,198,3,30
2,VE,4%,H2VE4,199,3,23
2,VE,4%,H2VE4,201,3,23
2,VE,4%,H2VE4,208,3,27
2,VE,4%,H2VE4,227,3,24
2,VE,4%,H2VE4,340,3,29
2,VE,8%,H2VE8,120,3,39
2,VE,8%,H2VE8,128,3,46
2,VE,8%,H2VE8,139,3,32
2,VE,8%,H2VE8,143,3,44
2,VE,8%,H2VE8,145,3,38
2,VE,8%,H2VE8,152,3,37
2,VE,8%,H2VE8,158,3,45
2,VE,8%,H2VE8,190,3,25
2,VE,8%,H2VE8,195,3,20
2,VE,8%,H2VE8,207,3,21
2,VE,8%,H2VE8,278,3,25
2,VE,16%,H2VE16,107,3,34
2,VE,16%,H2VE16,122,3,47
2,VE,16%,H2VE16,142,3,34
2,VE,16%,H2VE16,162,3,34
2,VE,16%,H2VE16,164,3,13
2,VE,16%,H2VE16,167,3,21
2,VE,16%,H2VE16,176,3,20
2,VE,16%,H2VE16,178,3,22
2,VE,16%,H2VE16,180,3,25
2,VE,16%,H2VE16,185,3,15
2,VE,16%,H2VE16,186,3,17
2,VE,16%,H2VE16,238,3,18
3,VS,4%,H3VS4,118,14,165
3,VS,4%,H3VS4,118,15,197
3,VS,8%,H3VS8,41,1,40
3,VS,8%,H3VS8,41,2,48
3,VS,8%,H3VS8,41,3,58
3,VS,8%,H3VS8,41,4,68
3,VS,8%,H3VS8,41,5,76
3,VS,8%,H3VS8,41,6,95
3,VS,8%,H3VS8,41,7,112
3,VS,8%,H3VS8,41,8,111
3,VS,8%,H3VS8,41,9,130
3,VS,8%,H3VS8,41,10,147
3,VS,8%,H3VS8,41,11,249
3,VS,8%,H3VS8,41,12,266
1,VS,4%,H1VS4,3,4,47
1,VS,4%,H1VS4,9,4,31
1,VS,4%,H1VS4,23,4,66
1,VS,4%,H1VS4,57,4,61
1,VS,4%,H1VS4,69,4,54
1,VS,4%,H1VS4,70,4,70
1,VS,4%,H1VS4,71,4,59
1,VS,4%,H1VS4,102,4,20
1,VS,4%,H1VS4,112,4,31
1,VS,4%,H1VS4,127,4,9
1,VS,8%,H1VS8,26,4,76
1,VS,8%,H1VS8,32,4,60
1,VS,8%,H1VS8,36,4,51
1,VS,8%,H1VS8,39,4,51
1,VS,8%,H1VS8,52,4,75
1,VS,8%,H1VS8,53,4,63
1,VS,8%,H1VS8,56,4,60
1,VS,8%,H1VS8,59,4,61
1,VS,8%,H1VS8,60,4,40
1,VS,8%,H1VS8,64,4,55
1,VS,8%,H1VS8,114,4,32
1,VS,16%,H1VS16,29,4,55
1,VS,16%,H1VS16,33,4,55
1,VS,16%,H1VS16,54,4,59
1,VS,16%,H1VS16,73,4,23
1,VS,16%,H1VS16,74,4,10
1,VS,16%,H1VS16,79,4,41
1,VS,16%,H1VS16,82,4,40
1,VS,16%,H1VS16,84,4,51
1,VS,16%,H1VS16,93,4,23
1,VS,16%,H1VS16,107,4,40
1,VS,16%,H1VS16,109,4,40
1,VS,4%,H1VS4,17,4,31
1,VE,4%,H1VE4,96,4,61
1,VE,4%,H1VE4,102,4,52
1,VE,4%,H1VE4,103,4,48
1,VE,4%,H1VE4,105,4,52
1,VE,4%,H1VE4,110,4,32
1,VE,4%,H1VE4,117,4,32
1,VE,4%,H1VE4,124,4,45
1,VE,4%,H1VE4,181,4,20
1,VE,4%,H1VE4,194,4,42
1,VE,4%,H1VE4,203,4,30
1,VE,8%,H1VE8,94,4,51
1,VE,8%,H1VE8,127,4,69
1,VE,8%,H1VE8,140,4,25
1,VE,8%,H1VE8,144,4,64
1,VE,8%,H1VE8,147,4,10
1,VE,8%,H1VE8,151,4,46
1,VE,8%,H1VE8,155,4,40
1,VE,8%,H1VE8,165,4,30
1,VE,8%,H1VE8,243,4,30
1,VE,8%,H1VE8,248,4,29
1,VE,16%,H1VE16,121,4,45
1,VE,16%,H1VE16,137,4,55
1,VE,16%,H1VE16,141,4,30
1,VE,16%,H1VE16,168,4,36
1,VE,16%,H1VE16,169,4,33
1,VE,16%,H1VE16,172,4,39
1,VE,16%,H1VE16,174,4,42
1,VE,16%,H1VE16,182,4,29
1,VE,16%,H1VE16,183,4,16
1,VE,16%,H1VE16,184,4,25
1,VE,16%,H1VE16,188,4,22
1,VE,4%,H1VE4,299,4,21
2,VS,4%,H2VS4,6,4,64
2,VS,4%,H2VS4,8,4,49
2,VS,4%,H2VS4,10,4,49
2,VS,4%,H2VS4,12,4,76
2,VS,4%,H2VS4,14,4,51
2,VS,4%,H2VS4,16,4,52
2,VS,4%,H2VS4,24,4,71
2,VS,4%,H2VS4,28,4,55
2,VS,4%,H2VS4,43,4,81
2,VS,4%,H2VS4,67,4,75
2,VS,4%,H2VS4,68,4,70
2,VS,4%,H2VS4,92,4,42
2,VS,8%,H2VS8,1,4,55
2,VS,8%,H2VS8,7,4,71
2,VS,8%,H2VS8,25,4,66
2,VS,8%,H2VS8,30,4,71
2,VS,8%,H2VS8,35,4,40
2,VS,8%,H2VS8,37,4,52
2,VS,8%,H2VS8,40,4,51
2,VS,8%,H2VS8,45,4,56
2,VS,8%,H2VS8,65,4,66
2,VS,8%,H2VS8,90,4,30
2,VS,8%,H2VS8,96,4,47
2,VS,16%,H2VS16,4,4,46
2,VS,16%,H2VS16,31,4,56
2,VS,16%,H2VS16,66,4,55
2,VS,16%,H2VS16,86,4,41
2,VS,16%,H2VS16,94,4,31
2,VS,16%,H2VS16,95,4,42
2,VS,16%,H2VS16,100,4,45
2,VS,16%,H2VS16,106,4,31
